[00:05.223, 00:06.960] 啊係啊係咩有咩事呢
[01:54.850, 01:56.953] 衣家系搞活动三千六咁啦
[02:00.766, 02:01.493] 唉
[02:01.493, 02:06.220] 誒原價係四千文嘅而家三千六都平咗好多喇
[02:08.516, 02:10.797] 如果你量大既话可以考虑下既
[02:16.833, 02:17.533] 得啊锦明
[02:20.416, 02:27.090] 如果你有三台可以確定有三台機嘅話咁我可以唔申請到三千新衫咁啦
[02:31.583, 02:31.933] 系啊
[02:40.783, 02:42.107] 三千怕好难喔
[02:46.100, 02:47.207] 两台系三千四
[02:54.000, 02:59.283] 呢个系基基本上都系入货价喇 再低就无无钱喇
[03:08.833, 03:11.850] 唔得 最低要三千三蚊一台
[03:15.833, 03:18.470] 系啊三个台三千三已经最低个囖
[03:26.100, 03:28.466] 系啊 有六十五英寸既有灰色有黑色
[03:29.750, 03:35.077] 自己拣 佢有啲係之前啲有線網線無線網線都得嘅
[03:37.283, 03:37.733] 可以啊
[03:38.900, 03:39.907] 包装安装好既
[03:46.016, 03:48.603] 地址唔同都无问题啊 唔系搞到好远就得架啦
[03:55.816, 04:01.067] 我地系呢个龙华文字带个个大润发个度 呢个地址识唔识啊
[04:06.300, 04:10.057] 唉龙华区民治街道跟住
[04:12.000, 04:16.663] 个个系文字大道三百八十五号 大潤發商場
[04:20.683, 04:34.553] 你可以等陣加我微信啊 加我微信就我發地址畀你 你到時導航過嚟得嘅喇 而家呢兩日啱啱搞活動  仲可以有啲優惠力度 唔係嘅話你才遲多幾日過嚟嘅話 可能冇呢個假個喎
[04:39.000, 04:43.253] 嗯都可以我哋係朝早九點鐘到晚黑九點鐘
[04:48.600, 04:53.680] 系啊 锦你确定要唔要哩三台机呀 要咖话我帮你订 依家因为有好多人订哩台机噢
[04:56.900, 04:58.124] 就定呢台机系哇
[04:59.457, 05:01.870] 好嘅好嘅咁你聽日過嚟啦我幫你辦下手續
[00:05.333, 00:07.234] 系啊 有咩事呢
[00:13.383, 00:14.617] 嗯 有咩事呢
[00:20.476, 00:23.153] 嗯 有咩事 你係電話裏頭講就得啦
[00:44.777, 00:45.980] 唉 保險啊
[00:46.647, 00:49.260] 我暫時冇呢個需要喎
[01:00.880, 01:01.733] 哦 噉啊
[01:19.807, 01:24.077] 啊黃生啊不如噉啊 你將嗰啲資料升畀我咪得囉
[01:44.763, 01:47.204] 嗯  近排我真係好忙喎
[01:47.904, 01:51.257] 你哋係將嗰啲資料寄畀我啦好嗎
[02:07.103, 02:11.844] 阿黃生啊 講真啊 我依家係度贷贷緊款買樓嚄
[02:12.577, 02:16.603] 我係資金方面 都係 唔係幾方便嘅
[02:42.410, 02:45.237] 最壞啦 而家真係抽唔到身呢
[02:45.937, 02:48.027] 不如第日你再打電話過嚟啦
[02:58.800, 03:02.336] 啊黃生 我覺得你喺度嘥時間囉
[03:23.120, 03:28.507] 啊 我覺得你喺度晒时间咯 我真係唔想買保險呢
[03:50.603, 03:51.142] 咁啊
[03:51.809, 03:56.383] 嗯 不如你下週三下午過嚟我辦公室啦
[04:11.750, 04:13.097] 嗯 好啊
[04:17.159, 04:19.360] 我地址係龍華呢邊喎
[04:22.010, 04:25.737] 嗯 你可以加我微信嘅 我哋先畀你囉
[04:46.487, 04:51.597] 嗯 到時你過嚟嘅時候畀個電話啦 我唔知到時得唔得閒個喎
[05:00.367, 05:00.960] 嗯得
[00:03.257, 00:05.077] 哎請問係李平李先生嗎
[00:08.583, 00:10.600] 啊你好係噉嘅啊我姓黃啊
[00:11.500, 00:12.643] 啊叫黃毛毛啊
[00:16.016, 00:19.687] 啊有咩事  請問你宜家可以同你傾句話或者係等陣再打俾你
[00:24.716, 00:28.373] 係咁嘅我係個   我冇公司嘅保險過問
[00:29.033, 00:31.350] 好多人倾过保险
[00:31.966, 00:34.327] 完整概家庭理财
[00:35.933, 00:38.823] 我呢度有一份好有價值嘅嘢食嘅話
[00:39.316, 00:44.220] 呃好多人都好認可嘅就上通嚟呃同你咁討論下咁
[00:51.583, 01:00.127] 但系可以話  乜都知嘅  冇呢個需要喎  通常都係我都係同我啲客誒經過詳細研究之後   再嚟決定有冇呢個需求啊你話今日係咪好啲呢
[01:03.783, 01:10.017] 阿李生啊經過誒仔細嘅討論之後呢你就會更清楚你嘅財務情況
[01:10.666, 01:13.027] 噉樣對你同你個家人都好有意義
[01:14.283, 01:16.920] 所以我希望有個時間約下你
[01:17.400, 01:18.983] 分析下完整嘅理財計劃
[01:26.510, 01:31.710] 如果噉樣做誒對李生有幫助個話我肯定好樂意噉做啦
[01:32.250, 01:36.150] 但係呢個技術嘅話係千人千面啊每一個人都係獨一無二
[01:36.700, 01:40.440] 如果叫你個人情況嚟嘅所以都好重要嘅
[01:41.600, 01:45.233] 啊所以我就好想啊約李生約個時間見面啊
[01:52.650, 01:55.600] 黎生其實唔會擔過你睇多時間嘅
[01:57.400, 02:02.860] 前前後後大概都係十分鐘到啦唔知李生下個週二上午十點定係
[02:03.383, 02:07.403] 星期三下午三點  個時間方便啲呀
[02:18.190, 02:21.520] 哦我明嘅你個諗法即係想唔好
[02:21.916, 02:23.847] 冇有啲冇必要嘅開支
[02:24.866, 02:29.463] 但係我同你講嘅保險計劃呢絕對唔係話想增加你嘅開支嘅
[02:30.183, 02:34.740] 反而係佢呢個計劃可以幫助你  改善你財務狀況跟住
[02:35.166, 02:41.287] 誒應付生活上各種面各方面嘅必要嘅開支其實都係好好嘅參考意見嚟嘅
[02:51.233, 02:57.703] 李生你工作咁出聲我當然知道你好忙啦所以我而家先提前打電話畀你同你約個時間
[03:04.483, 03:08.607] 啊李生啊因為呢個理財計劃對你嚟講都係非常重要嘅所以
[03:09.233, 03:13.197] 當我當然唔介意用十分鐘嘅時間同你傾下咁啦
[03:14.466, 03:19.917] 或者話李生你下   星期下個星期三朝早定係下晝
[03:20.849, 03:22.533] 呢個時間比較方便啲啦
[03:30.366, 03:33.733] 你嘅意思係唔係話唔需要任何人壽保險呢
[03:34.333, 03:37.330] 如果其實你而家話想買保險我先覺得好意外啊
[03:38.483, 03:43.633] 誒我約你見面嘅目的即係想將你個獨一無二嘅理直嘅話誒向你介紹一下
[03:44.416, 03:48.537] 到時候你覺得有用就可以有用啊冇用嘅話咁我即刻走
[03:49.300, 03:49.790] 咁你好嘛
[03:58.133, 04:01.280] 噉啊噉多謝阿李生先喎噉我再確認下不是
[04:02.150, 04:04.043] 我係我冇公司嘅王某毛啊
[04:05.350, 04:09.057] 我會係下個星期三下晝三點到你個辦公室
[04:09.450, 04:09.887] 見你
[04:14.757, 04:16.413] 咁你嗰個地址係邊度啊佢
[04:20.566, 04:21.347] 唔係邊個位置啊
[04:27.066, 04:27.803] 哦
[04:28.583, 04:28.980] 咁
[04:30.650, 04:37.193] 你記得通過我我等陣扱機就我加加你微信到時呢我會誒提前約你嘅
[04:37.916, 04:40.560] 提前約你跟住帶我資料過去
[04:41.800, 04:43.660] 噉你到時就係
[04:44.716, 04:45.957] 抽十分鐘出嚟得喇
[04:53.683, 04:57.223] 唔誒我雖然知道你好忙但係我都係希望你
[04:57.633, 04:58.143] 又係可以
[04:58.766, 05:00.146] 抽啲時間出嚟十分鐘就得喇
[05:01.933, 05:02.727] 咁好啦拜拜
